Profit;OrderNumber;OrderDate;Channel;Warehouse Code;Delivery Region Index;Product Description Index;Order Quantity;Unit Price;Line Total;Total Unit Cost;Customer Name Index;Customer Names;Customer Sales Group;Head Office Index;Product Name;Product Sales;City;Country
78,38999999999999;SO - 000126;03.06.2014;Wholesale;AXW291;20;4;11;174,2;1916,2;95,81;133;Mydo Corp;Top Clients;54;Product 4;10834576,7;Dnepropetrovsk;Ukraine
863,7639999999997;SO - 000153;06.06.2014;Wholesale;AXW291;20;7;11;3926,2;43188,2;3062,436;31;Golden Corp;Top Clients;36;Product 7;9503112,49999999;Dnepropetrovsk;Ukraine
645,076;SO - 000175;10.06.2014;Wholesale;AXW291;20;15;11;2224,4;24468,4;1579,324;72;Wordware Company;Mid. Clients;15;Product 15;10747791,6;Dnepropetrovsk;Ukraine
361,79999999999995;SO - 000199;13.06.2014;Wholesale;AXW291;5;9;11;1206;13266;844,2;166;Brainspher Ltd;Top Clients;39;Product 9;10489225,2;KIEV;Ukraine
1466,9650000000001;SO - 000221;15.06.2014;Wholesale;AXW291;5;13;11;5058,5;55643,5;3591,535;142;Skippad Ltd;Top Clients;27;Product 13;10153809,8;KIEV;Ukraine
1763,4399999999996;SO - 000224;16.06.2014;Wholesale;AXW291;9;7;11;6298;69278;4534,56;135;Kaymbo Company;Mid. Clients;60;Product 7;9503112,49999999;Hamburg;Germany
678,8439999999996;SO - 000250;18.06.2014;Wholesale;AXW291;7;8;11;3993,2;43925,2;3314,356;72;Wordware Company;Mid. Clients;15;Product 8;10172670,3;BUCURESTI (Bucharest);Romania
882,5239999999999;SO - 000258;19.06.2014;Wholesale;AXW291;6;11;11;2385,2;26237,2;1502,676;142;Skippad Ltd;Top Clients;27;Product 11;10003749,9;PARIS;France
446,2199999999998;SO - 000259;19.06.2014;Wholesale;AXW291;3;8;11;2231,1;24542,1;1784,88;2;Jaxbean Group;Top Clients;42;Product 8;10172670,3;MADRID;Spain
482,4;SO - 000300;25.06.2014;Wholesale;AXW291;23;10;11;1005;11055;522,6;37;Mycone Ltd;Lower Clients;41;Product 10;10736750;Birmingham;UK
932,372;SO - 000304;26.06.2014;Wholesale;AXW291;12;1;11;1902,8;20930,8;970,428;107;NCS Group;Top Clients;26;Product 1;9446611,40000001;BEOGRAD (Belgrade);Serbia
1286,601;SO - 000305;26.06.2014;Wholesale;AXW291;28;10;11;3477,3;38250,3;2190,699;137;Aldi Ltd;Lower Clients;28;Product 10;10736750;Zaporozhye;Ukraine
266,7940000000001;SO - 000326;28.06.2014;Wholesale;AXW291;13;9;11;1212,7;13339,7;945,906;47;Gigabox Group;Top Clients;39;Product 9;10489225,2;WIEN (Vienna);Austria
1597,9499999999998;SO - 000343;30.06.2014;Wholesale;AXW291;4;14;11;6391,8;70309,8;4793,85;70;Cogidoo Company;Top Clients;36;Product 14;10295467,9;ROMA;Italy
239,19;SO - 000375;03.07.2014;Wholesale;AXW291;6;1;11;683,4;7517,4;444,21;160;Browsebug Company;Top Clients;16;Product 1;9446611,40000001;PARIS;France
324,4810000000001;SO - 000444;12.07.2014;Wholesale;AXW291;22;7;11;1118,9;12307,9;794,419;67;Skyble Corp;Top Clients;12;Product 7;9503112,49999999;Napoli (Naples);Italy
1280,37;SO - 000470;15.07.2014;Wholesale;AXW291;8;4;11;2613;28743;1332,63;99;Flipbug Ltd;Top Clients;13;Product 4;10834576,7;BUDAPEST;Hungary
811,8389999999999;SO - 000610;31.07.2014;Wholesale;AXW291;27;9;11;3865,9;42524,9;3054,061;43;Pacific Ltd;Mid. Clients;20;Product 9;10489225,2;ZAGREB;Croatia
769,6960000000001;SO - 000620;01.08.2014;Wholesale;AXW291;11;11;11;2405,3;26458,3;1635,604;173;H Ltd;Top Clients;12;Product 11;10003749,9;WARSZAWA (Warsaw);Poland
536,469;SO - 000654;05.08.2014;Wholesale;AXW291;1;8;11;1051,9;11570,9;515,431;68;True Ltd;Top Clients;4;Product 8;10172670,3;LONDON;UK
378,885;SO - 000663;05.08.2014;Wholesale;AXW291;3;11;11;971,5;10686,5;592,615;138;Zoovu Corp;Mid. Clients;9;Product 11;10003749,9;MADRID;Spain
1387,7040000000006;SO - 000666;06.08.2014;Wholesale;AXW291;21;10;11;5782,1;63603,1;4394,396;55;American Corp;Lower Clients;52;Product 10;10736750;Donetsk;Ukraine
1546,0250000000005;SO - 000704;10.08.2014;Wholesale;AXW291;15;12;11;6184,1;68025,1;4638,075;15;Centizu Company;Top Clients;23;Product 12;10660912,7;Barcelona;Spain
30,753000000000014;SO - 000738;14.08.2014;Wholesale;AXW291;12;3;11;180,9;1989,9;150,147;93;Meejo Corp;Top Clients;29;Product 3;10374661,9;BEOGRAD (Belgrade);Serbia
773,1800000000003;SO - 000783;18.08.2014;Wholesale;AXW291;31;2;11;3865,9;42524,9;3092,72;73;Deseret Group;Top Clients;31;Product 2;10711068,9;RIGA;Latvia
601,6600000000003;SO - 000786;19.08.2014;Wholesale;AXW291;10;7;11;3008,3;33091,3;2406,64;59;Gabvine Ltd;Mid. Clients;64;Product 7;9503112,49999999;MINSK;Belarus
